# Synthetic OLI-2 B04 interference filter T(lambda) [-] vs [um]:
# super-Gaussian (m=5), 50% points at published edges 0.636-0.673 um,
# peak 0.90, blocking floor 0.0001. Generator: scripts/gen_oli2_coatings.py.
1.680,0.000100
1.685,0.000100
1.690,0.000100
1.695,0.000100
1.700,0.000100
1.705,0.000100
1.710,0.000100
1.715,0.000100
1.720,0.000100
1.725,0.000100
1.730,0.000100
1.735,0.000100
1.740,0.000100
1.745,0.000100
1.750,0.000100
1.755,0.000100
1.760,0.000100
1.765,0.000100
1.770,0.000100
1.775,0.000100
1.780,0.000100
1.785,0.000100
1.790,0.000100
1.795,0.000100
1.800,0.000100
1.805,0.000100
1.810,0.000100
1.815,0.000100
1.820,0.000100
1.825,0.000100
1.830,0.000100
1.835,0.000100
1.840,0.000100
1.845,0.000100
1.850,0.000100
1.855,0.000100
1.860,0.000100
1.865,0.000100
1.870,0.000100
1.875,0.000100
1.880,0.000100
1.885,0.000100
1.890,0.000100
1.895,0.000100
1.900,0.000100
1.905,0.000100
1.910,0.000100
1.915,0.000100
1.920,0.000100
1.925,0.000100
1.930,0.000100
1.935,0.000100
1.940,0.000100
1.945,0.000100
1.950,0.000100
1.955,0.000100
1.960,0.000100
1.965,0.000100
1.970,0.000100
1.975,0.000100
1.980,0.000100
1.985,0.000100
1.990,0.000100
1.995,0.000100
2.000,0.000100
2.005,0.000100
2.010,0.000100
2.015,0.000100
2.020,0.000100
2.025,0.000100
2.030,0.000100
2.035,0.000100
2.040,0.000100
2.045,0.000100
2.050,0.000100
2.055,0.000100
2.060,0.000100
2.065,0.000100
2.070,0.000100
2.075,0.000100
2.080,0.000100
2.085,0.000100
2.090,0.000100
2.095,0.000100
2.100,0.000100
2.105,0.000100
2.110,0.000100
2.115,0.000100
2.120,0.000100
2.125,0.000100
2.130,0.000100
2.135,0.000100
2.140,0.000100
2.145,0.000100
2.150,0.000100
2.155,0.000100
2.160,0.000100
2.165,0.000100
2.170,0.000100
2.175,0.000100
2.180,0.000100
2.185,0.000100
2.190,0.000100
2.195,0.000100
2.200,0.000100
2.205,0.000100
2.210,0.000100
2.215,0.000100
2.220,0.000100
2.225,0.000100
2.230,0.000100
2.235,0.000100
2.240,0.000100
2.245,0.000100
2.250,0.000100
2.255,0.000100
2.260,0.000100
2.265,0.000100
2.270,0.000100
2.275,0.000100
2.280,0.000100
2.285,0.000100
2.290,0.000100
2.295,0.000100
2.300,0.000100
2.305,0.000100
2.310,0.000100
2.315,0.000100
2.320,0.000100
2.325,0.000100
2.330,0.000100
2.335,0.000100
2.340,0.000100
2.345,0.000100
2.350,0.000100
2.355,0.000100
2.360,0.000100
2.365,0.000100
2.370,0.000100
2.375,0.000100
2.380,0.000100
2.385,0.000100
2.390,0.000100
2.395,0.000100
2.400,0.000100
2.405,0.000100
2.410,0.000100
2.415,0.000100
2.420,0.000100
2.425,0.000100
2.430,0.000100
2.435,0.000100
2.440,0.000100
2.445,0.000100
2.450,0.000100
2.455,0.000100
2.460,0.000100
2.465,0.000100
2.470,0.000100
2.475,0.000100
2.480,0.000100
2.485,0.000100
2.490,0.000100
2.495,0.000100
2.500,0.000100
